model_family,checkpoint,amateur_checkpoint,loading_precision,dataset,batch_size,method,expert_method,amateur_method,weighting_parameter,seed,n_shot,sample,expert_accuracy,amateur_accuracy,accuracy
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,0,0,100,0.3000,0.2700,0.3000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,0,0,100,0.4700,0.5100,0.4600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,language_modeling,-1.0,0,0,100,0.5400,0.5100,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.3600,0.2900,0.4000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.0000,0.5100,0.0400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.5500,0.4300,0.6000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.1000,0.6000,0.0400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.3000,0.2400,0.3000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.4700,0.5300,0.4200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,calibration,-1.0,0,0,100,0.5400,0.5000,0.5500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.3600,0.3500,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.0000,0.2200,0.0000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.5500,0.6300,0.5700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.1000,0.2700,0.0800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.3000,0.3000,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.4700,0.4500,0.4800
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,multiple_choice_prompt,channel,-1.0,0,0,100,0.5400,0.5000,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,multiple_choice_prompt,multiple_choice_prompt,-1.0,0,0,100,0.3600,0.3300,0.4100
