model_family,checkpoint,amateur_checkpoint,loading_precision,dataset,batch_size,method,expert_method,amateur_method,weighting_parameter,seed,n_shot,sample,expert_accuracy,amateur_accuracy,accuracy
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,channel,-1.0,2,0,100,0.3400,0.3400,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,disambiguation_qa,16,contrastive_decoding,channel,channel,-1.0,2,0,100,0.3000,0.2900,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,channel,-1.0,2,0,100,0.3200,0.2100,0.3200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,ruin_names,16,contrastive_decoding,channel,channel,-1.0,2,0,100,0.1000,0.1600,0.1400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,temporal_sequences,16,contrastive_decoding,channel,channel,-1.0,2,0,100,0.3600,0.1100,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.3900,0.2500,0.3300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.7000,0.5400,0.6600
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,cqa,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.4400,0.2100,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.3400,0.3200,0.3100
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.5200,0.5200,0.5200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.4800,0.4000,0.6000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,code_line_description,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.7069,0.5345,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.3600,0.3300,0.3300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,disambiguation_qa,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.2900,0.2600,0.2700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.3300,0.1900,0.3500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,ruin_names,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.1200,0.2300,0.1500
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,temporal_sequences,16,contrastive_decoding,channel,channel,-1.0,3,0,100,0.3600,0.2200,0.3300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,anli,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.3600,0.3300,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,copa,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.7000,0.6000,0.6300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,cqa,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.4800,0.2600,0.4200
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,obqa,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.2500,0.1900,0.3400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,piqa,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.4600,0.3500,0.6400
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,winogrande,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.4600,0.5200,0.4700
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,code_line_description,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.7069,0.5345,0.5000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,conceptual_combinations,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.3500,0.3200,0.3300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,disambiguation_qa,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.3200,0.3000,0.2900
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,emoji_movie,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.3100,0.2000,0.3300
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,ruin_names,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.0800,0.1700,0.1000
Pythia,EleutherAI/pythia-2.8b,EleutherAI/pythia-70m,FP16,temporal_sequences,16,contrastive_decoding,channel,channel,-1.0,4,0,100,0.3100,0.2100,0.3400
